index,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,release_date,year,decade,era,is_hit
2826,04Opv95YdaTL2OU4tooVyQ,Efek Rumah Kaca,Kamar Gelap,Balerina,46,242608,False,0.45,0.826,7,-4.719,1,0.0367,0.0218,3.65e-05,0.193,0.666,130.062,4,alt-rock,2008,2008,2000,00s-10s,False
1717,0bIcfdH8VWCXcR0KNjDRF2,Chief Checker,Nigeria 70 - Lagos Jump,Africa Irie,17,342013,False,0.745,0.587,9,-8.101,0,0.163,0.0329,0.273,0.0922,0.86,131.977,4,afrobeat,2008-05-12,2008,2000,00s-10s,False
335,0ngtyvPUKR4YTtkVKvZP02,Priscilla Ahn,A Good Day,Dream,54,211240,False,0.512,0.248,2,-10.359,1,0.0275,0.75,2.96e-05,0.114,0.158,109.692,3,acoustic,2008-01-01,2008,2000,00s-10s,False
7,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,80,242946,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,acoustic,2008-05-12,2008,2000,00s-10s,True
2832,6XqVKktG8x1CdAzYgXAa0o,Las Pastillas del Abuelo,Crisis,Me Juego el Corazón?,45,215946,False,0.665,0.826,6,-5.207,0,0.041,0.195,0.0,0.104,0.918,116.009,4,alt-rock,2008,2008,2000,00s-10s,False
508,0eyE0L7FbNrXaByFzMXT1C,Greg Laswell,Three Flights From Alto Nido,And Then You,47,209583,False,0.63,0.342,7,-13.377,1,0.0245,0.817,0.00432,0.0965,0.552,77.515,4,acoustic,2008-01-01,2008,2000,00s-10s,False
2994,7FC5uMdyQyYgN6jpBjgvdK,Guasones,Esclavo,Como un Lobo,44,241880,False,0.57,0.824,4,-5.156,1,0.0308,0.000372,5.9e-05,0.12,0.651,128.95,4,alt-rock,2008-01-01,2008,2000,00s-10s,False
367,2KhS0LVOw9ralhfbcIi7vL,Greg Laswell,Three Flights From Alto Nido,Comes And Goes (In Waves),55,253546,False,0.565,0.698,0,-8.596,1,0.0295,0.54,0.0183,0.124,0.155,120.013,4,acoustic,2008-01-01,2008,2000,00s-10s,False
8,0IktbUcnAGrvD03AWnz3Q8,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,74,189613,False,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4,acoustic,2008-05-12,2008,2000,00s-10s,True
965,4QVZZAO7LDFjsbWemhTN5y,Naotaro Moriyama,生きてることが辛いなら,生きてることが辛いなら,26,273480,False,0.333,0.266,8,-6.42,1,0.0318,0.951,3.32e-05,0.108,0.33,129.249,4,acoustic,2008-08-20,2008,2000,00s-10s,False
383,3wpZTp7HM8Dv25oExNgCC6,Ingrid Michaelson,Be OK,Keep Breathing,54,205586,False,0.52,0.308,7,-11.996,1,0.0331,0.776,0.00285,0.115,0.187,125.93,3,acoustic,2008-10-14,2008,2000,00s-10s,False
936,5kTmg9n7FZ7xv8SZVFhX8P,AJJ,Only God Can Judge Me and More,I Am So Mad at You,27,104306,True,0.682,0.666,0,-4.823,1,0.0381,0.0602,7.99e-05,0.208,0.79,93.992,4,acoustic,2008-05-15,2008,2000,00s-10s,False
1734,3au2mSWBCtWcWsXUdx6WrH,Ernest Ranglin,Surfside,Surfing,19,225133,False,0.793,0.436,0,-7.624,0,0.0666,0.132,0.0143,0.0651,0.821,142.011,4,afrobeat,2008-01-02,2008,2000,00s-10s,False
162,03yc0G2OoH1Eeyu7Piy8fK,Jason Mraz,I'm Yours,I'm Yours,60,243494,False,0.693,0.43,11,-9.395,1,0.0442,0.565,0.0,0.0928,0.731,151.001,4,acoustic,2008-02-12,2008,2000,00s-10s,False
1523,1f525vw1csOSQWAezL0YKf,Kiko Dinucci e Bando Afro Macarrônico,Pastiche Nago,Rainha das Cabeças,19,167293,False,0.73,0.736,5,-6.807,1,0.0404,0.763,0.00369,0.119,0.937,139.961,4,afrobeat,2008-08-05,2008,2000,00s-10s,False
1792,5ZSnUYUX2cuOpsSbVo3Wot,Los Amigos Invisibles,Live En Una Noche Tan Linda Como Esta Vol 1,Yo No Se,20,132284,False,0.56,0.822,0,-9.234,1,0.032,0.256,0.712,0.561,0.962,131.774,4,afrobeat,2008-08-28,2008,2000,00s-10s,False
2662,3QI2FbgxMG42vJjqNEHOP3,O Rappa,7 Vezes,Em busca do porrão - Versão 2,47,312280,True,0.652,0.57,5,-9.013,0,0.0259,0.638,0.00815,0.154,0.78,92.978,4,alt-rock,2008-07-29,2008,2000,00s-10s,False
537,56AecW9Anb0CY6HpgWvcg9,Ray LaMontagne,Gossip In The Grain,Let It Be Me,58,280226,False,0.614,0.283,0,-8.008,1,0.027,0.472,0.0,0.114,0.331,107.673,3,acoustic,2008-10-13,2008,2000,00s-10s,False
1252,1bZH8L8V2m454tdcSPEIl7,Menahan Street Band,Make the Road By Walking,The Traitor,55,162266,False,0.628,0.585,3,-8.036,0,0.0421,0.147,0.927,0.0465,0.618,100.95,4,afrobeat,2008-10-14,2008,2000,00s-10s,False
793,4psC6LXiY2vMsYAuYETR1C,AJJ,Only God Can Judge Me and More,Darkest Heart,28,122600,True,0.463,0.656,0,-3.078,1,0.0468,0.0845,0.00224,0.16,0.798,176.907,4,acoustic,2008-05-15,2008,2000,00s-10s,False
1492,5TgyYzvxGsPAQwcdpY5f5X,Jorge Drexler,Cara B,Fractura de escafoides tarsiano derecho - Cara B,21,208026,False,0.481,0.442,7,-20.759,1,0.868,0.507,0.0139,0.983,0.709,151.445,4,afrobeat,2008-04-01,2008,2000,00s-10s,False
1948,7d2iYkVDmLMvc6wVR1hs4r,Calle 13;Rubén Blades;La Chilinga,Los De Atrás Vienen Conmigo,La Perla (feat. Rubén Blades & La Chilinga),18,416133,False,0.735,0.681,10,-7.757,1,0.316,0.673,0.0,0.0584,0.968,90.003,4,afrobeat,2008-07-21,2008,2000,00s-10s,False
791,1o95Vc19sHgVwk20YwNPvR,AJJ,Only God Can Judge Me and More,Unicron,28,73066,True,0.495,0.531,0,-6.372,1,0.0582,0.696,0.0,0.165,0.827,155.227,4,acoustic,2008-05-15,2008,2000,00s-10s,False
3722,3RAFcUBrCNaboRXoP3S5t1,Slipknot,All Hope Is Gone (10th Anniversary),Psychosocial,76,284120,False,0.568,0.981,2,-3.889,1,0.0887,0.00269,0.00275,0.0243,0.307,135.146,4,alternative,2008-08-20,2008,2000,00s-10s,True
1930,2qPglKAUAM1sDKtfYpuq53,Africania,Ori,Cachoeira,16,348066,False,0.698,0.707,1,-10.331,0,0.0551,0.516,0.733,0.316,0.636,99.009,4,afrobeat,2008,2008,2000,00s-10s,False
1271,0rfLENWpXJIDhnqOF2IIOM,Calle 13,Los De Atrás Vienen Conmigo,Tal Para Cual,27,227826,True,0.726,0.871,4,-4.826,0,0.111,0.0714,7.87e-06,0.157,0.773,175.999,4,afrobeat,2008-07-21,2008,2000,00s-10s,False
1475,0JrylPRXs9uPGmp2KjON40,Kiko Dinucci e Bando Afro Macarrônico,Pastiche Nago,Santa Bamba,19,208013,False,0.734,0.463,11,-9.349,1,0.0395,0.695,0.000153,0.112,0.828,85.988,4,afrobeat,2008-08-05,2008,2000,00s-10s,False
1277,1Y7JDqUVbaHRPsLJtSY8ie,Grupo Fantasma,Sonidos Gold,Arroz Con Frijoles,24,241520,False,0.382,0.931,6,-7.296,0,0.0591,0.137,0.649,0.0553,0.801,105.214,4,afrobeat,2008-06-17,2008,2000,00s-10s,False
1278,7bCFRx6rAl9nZpKMm0QAOs,Jorge Drexler,Cara B,Disneylandia - Cara B,25,285880,False,0.575,0.295,2,-19.252,0,0.204,0.877,0.000763,0.336,0.564,79.991,4,afrobeat,2008-04-01,2008,2000,00s-10s,False
1279,2gDu2SBfDxy3s7eElrPs6Q,Calle 13,Los De Atrás Vienen Conmigo,Los De Atrás Vienen Conmigo,26,216093,True,0.641,0.66,2,-5.595,1,0.357,0.208,0.0,0.128,0.549,169.881,4,afrobeat,2008-07-21,2008,2000,00s-10s,False
1921,3EMMlbloeH6RJ6NZSLl0cK,Grupo Fantasma,Sonidos Gold,El Sabio Soy Yo,16,235760,False,0.675,0.731,2,-6.186,0,0.0368,0.247,6.17e-06,0.571,0.897,95.1,4,afrobeat,2008-06-17,2008,2000,00s-10s,False
1264,6qZA2WW7WaPQ6fk3QT0dcw,Calle 13,Los De Atrás Vienen Conmigo,Esto Con Eso,25,250080,True,0.659,0.74,7,-6.524,1,0.198,0.108,0.0,0.115,0.91,190.001,4,afrobeat,2008-07-21,2008,2000,00s-10s,False
2889,0zNeZTy7nLEWCRrBgjrBx5,Enjambre,El Segundo Es Felino,Impacto,45,238160,False,0.727,0.706,4,-6.235,1,0.0247,0.067,0.000176,0.133,0.772,108.499,4,alt-rock,2008,2008,2000,00s-10s,False
833,03czT1nVZDRv2JlpY2GxON,Peter Bradley Adams,Leavetaking,The Longer I Run,53,251453,False,0.602,0.52,3,-10.831,1,0.028,0.732,0.221,0.0982,0.523,151.912,4,acoustic,2008-08-05,2008,2000,00s-10s,False
2885,7v4Pcy1Qg5M9HtquXttaYT,La Gusana Ciega,Jaibol,"Vivir Así, Es Morir de Amor",45,224000,False,0.566,0.83,8,-5.849,1,0.0491,0.00103,0.00072,0.167,0.73,165.003,4,alt-rock,2008-09-02,2008,2000,00s-10s,False
1225,5w7iYWCPAuf9CYfD9LkGJH,Africania,Ori,Oxalá Babá,26,193893,False,0.893,0.671,11,-8.777,1,0.0619,0.646,0.2,0.117,0.933,99.998,4,afrobeat,2008,2008,2000,00s-10s,False
1227,6WSzh5vVCF5CGg3Qr4ax2e,Jorge Drexler,Cara B,Gracias - Cara B,26,228413,False,0.707,0.283,2,-16.795,1,0.0652,0.848,0.00054,0.339,0.796,79.771,4,afrobeat,2008-04-01,2008,2000,00s-10s,False
2257,4CbKVDZkYKdv69I4bCaKUq,Skillet,Awake,Hero,72,186813,False,0.533,0.967,1,-2.543,1,0.0995,0.00791,0.0,0.336,0.782,142.018,4,alt-rock,2009-08-21,2009,2000,00s-10s,True
2978,0pz2M8f78gt3rwgWmbpOX3,Andrés Calamaro,Andres,Mi gin tonic,44,172466,False,0.703,0.82,7,-7.121,1,0.0272,0.0496,0.0,0.094,0.934,119.993,4,alt-rock,2009-04-06,2009,2000,00s-10s,False
783,0VDhK4DIjbsAHo1GDe9VfM,Drew Holcomb & The Neighbors,A Million Miles Away,I Like to Be With Me When I'm With You,55,230773,False,0.595,0.384,2,-12.114,1,0.0305,0.682,2.37e-06,0.0796,0.691,90.726,4,acoustic,2009-08-11,2009,2000,00s-10s,False
963,0tu4zWxyFV1Djbf4hLY3xP,Kazuyoshi Saito,深夜高速 -生きててよかったの集い-,深夜高速,26,326706,False,0.474,0.727,2,-5.892,1,0.0329,0.123,2.82e-06,0.244,0.83,79.633,4,acoustic,2009-09-16,2009,2000,00s-10s,False
2513,0nkzd3yNniB767zSDDdLZ3,Skillet,Awake,Awake and Alive,69,209493,False,0.434,0.939,4,-2.983,0,0.0593,0.0425,0.0,0.491,0.569,159.932,4,alt-rock,2009-08-21,2009,2000,00s-10s,False
1236,31ao406OGaNbH3p8KydsV6,Calle 13,Los De Atrás Vienen Conmigo,Intro Crónica De Un Nacimiento,27,95733,True,0.443,0.453,8,-9.763,0,0.12,0.532,0.0,0.167,0.477,93.877,1,afrobeat,2009-07-23,2009,2000,00s-10s,False
1064,0YM62MzsqtMsbCS0E89bvx,Los Amigos Invisibles,Commercial,Sueño Erótico,35,242373,False,0.683,0.823,9,-6.475,1,0.0559,0.138,0.067,0.176,0.837,120.03,4,afrobeat,2009-05-26,2009,2000,00s-10s,False
1200,4bJ7tMJqfYmkKgCYzaaG4B,El Michels Affair,Enter The 37th Chamber,C.R.E.A.M.,55,174826,False,0.571,0.508,11,-8.118,0,0.0254,0.532,0.951,0.161,0.102,96.825,4,afrobeat,2009-04-21,2009,2000,00s-10s,False
1152,3V9QiKuxrKSX5TspNd0MlV,Bang Data,Maldito Carnaval,Bang Data,42,180973,False,0.605,0.835,6,-6.477,0,0.14,0.0764,0.0,0.122,0.903,171.958,4,afrobeat,2009-10-06,2009,2000,00s-10s,False
1351,74ZV02rTNGS72yVMhuydmg,Osibisa,The Very Best Of,Dance the Body Music,27,229480,False,0.731,0.831,5,-7.615,0,0.0366,0.0132,0.000148,0.0338,0.973,120.919,4,afrobeat,2009-08-24,2009,2000,00s-10s,False
2980,3M6auAoAoVyPGxNxe1jcXw,Charlie Brown Jr.,Camisa 10 joga bola até na chuva,Só pra vadiar,44,244760,False,0.623,0.946,2,-4.199,0,0.0486,0.172,6.01e-06,0.066,0.922,108.016,4,alt-rock,2009-09-16,2009,2000,00s-10s,False
977,6c6xJgk6Z7WElX8tRUdjZk,Correatown,Spark. Burn. Fade.,All The World (I Tell Myself),38,273026,False,0.488,0.294,6,-14.717,0,0.0261,0.917,0.841,0.0876,0.26,76.647,3,acoustic,2009-05-26,2009,2000,00s-10s,False
